label	slug	kind	name	file	line	propish	description
L2_Operator	operator	def	AscentStabilized	lean/InfoGeometry/Algebraic/Fitting.lean	20	true	operator-algebraic bridge substrate
L2_Operator	operator	def	DescentStabilized	lean/InfoGeometry/Algebraic/Fitting.lean	25	true	operator-algebraic bridge substrate
L2_Operator	operator	theorem	isCompl_ker_pow_range_pow	lean/InfoGeometry/Algebraic/Fitting.lean	91	true	operator-algebraic bridge substrate
L2_Operator	operator	def	jordanProduct	lean/InfoGeometry/Algebraic/JordanCliffordLieSplit.lean	23	false	operator-algebraic bridge substrate
L2_Operator	operator	def	lieBracket	lean/InfoGeometry/Algebraic/JordanCliffordLieSplit.lean	31	false	operator-algebraic bridge substrate
L2_Operator	operator	theorem	jordan_lie_split	lean/InfoGeometry/Algebraic/JordanCliffordLieSplit.lean	39	true	operator-algebraic bridge substrate
L5_ThermodynamicClosure	thermo	def	finiteMobiusDirichletPolynomial	lean/InfoGeometry/Arithmetic/MobiusDirichletInverseBridge.lean	34	false	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	def	finiteFermionicEulerProduct	lean/InfoGeometry/Arithmetic/MobiusDirichletInverseBridge.lean	45	false	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	theorem	finiteMobiusDirichletPolynomial_eq_finiteFermionicEulerProduct	lean/InfoGeometry/Arithmetic/MobiusDirichletInverseBridge.lean	56	true	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	theorem	finiteMobiusDirichletPolynomial_empty	lean/InfoGeometry/Arithmetic/MobiusDirichletInverseBridge.lean	86	true	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	theorem	finiteFermionicEulerProduct_empty	lean/InfoGeometry/Arithmetic/MobiusDirichletInverseBridge.lean	94	true	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	structure	PrimeRegister	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	28	false	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	abbrev	PrimeBitState	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	42	false	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	def	occupiedPrimeSet	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	47	false	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	theorem	occupiedPrimeSet_subset	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	55	true	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	def	representedNat	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	65	false	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	def	representedNatOfState	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	70	false	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	def	fermionNumber	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	75	false	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	def	fermionNumberOfState	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	80	false	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	def	fermionParity	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	85	false	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	def	fermionParityOfState	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	90	false	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	def	subregister	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	95	false	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	theorem	mobius_prime_product_eq_parity	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	107	true	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	theorem	mobius_representedNat_eq_fermionParity	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	131	true	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	theorem	mobius_representedNatOfState_eq_fermionParity	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	144	true	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	theorem	mobius_eq_zero_of_not_squarefree	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	159	true	thermodynamic/free-energy/closure substrate
L5_ThermodynamicClosure	thermo	theorem	finite_witten_index_cancel	lean/InfoGeometry/Arithmetic/PrimeBitWittenIndex.lean	171	true	thermodynamic/free-energy/closure substrate
